Date;District;Ag_Neg;Ag_Pos;Total;District_code
2020-06-30;Okres Bansk· Bystrica;12;0;12;SK0321
2020-08-29;Okres Levice;46;0;46;SK0232
2020-09-10;Okres Ruûomberok;12;0;12;SK0318
2020-10-01;Okres Zvolen;16;0;16;SK032B
2020-10-11;Okres B·novce nad Bebravou;0;0;0;SK0221
2020-10-11;Okres Ilava;0;0;0;SK0222
2020-10-12;Okres B·novce nad Bebravou;0;0;0;SK0221
2020-10-12;Okres Bansk· Bystrica;13;0;13;SK0321
2020-10-12;Okres Bardejov;60;15;75;SK0411
2020-10-12;Okres Doln˝ KubÌn;0;0;0;SK0313
2020-10-12;Okres Galanta;0;0;0;SK0212
2020-10-12;Okres HumennÈ;0;0;0;SK0412
2020-10-12;Okres Koöice I;0;0;0;SK0422
2020-10-12;Okres Koöice IV;0;0;0;SK0425
2020-10-12;Okres Liptovsk˝ Mikul·ö;0;0;0;SK0315
2020-10-12;Okres Michalovce;0;0;0;SK0427
2020-10-12;Okres Myjava;0;0;0;SK0223
2020-10-12;Okres Partiz·nske;0;0;0;SK0225
2020-10-12;Okres Pieöùany;41;1;42;SK0214
2020-10-12;Okres Poprad;274;20;294;SK0416
2020-10-12;Okres Prievidza;0;0;0;SK0227
2020-10-12;Okres Rev˙ca;1;0;1;SK0328
2020-10-12;Okres Rimavsk· Sobota;0;0;0;SK0329
2020-10-12;Okres RoûÚava;0;0;0;SK0428
2020-10-12;Okres Spiösk· Nov· Ves;0;0;0;SK042A
2020-10-12;Okres Zvolen;96;4;100;SK032B
2020-10-12;Okres éiar nad Hronom;0;0;0;SK032D
2020-10-13;Okres Bansk· Bystrica;13;2;15;SK0321
2020-10-13;Okres Bratislava I;0;0;0;SK0101
2020-10-13;Okres Bratislava II;14;0;14;SK0102
2020-10-13;Okres Bratislava III;94;8;102;SK0103
2020-10-13;Okres Bratislava V;0;0;0;SK0105
2020-10-13;Okres »adca;0;0;0;SK0312
2020-10-13;Okres Doln˝ KubÌn;349;36;385;SK0313
2020-10-13;Okres Galanta;0;0;0;SK0212
2020-10-13;Okres HumennÈ;0;0;0;SK0412
2020-10-13;Okres Ilava;0;0;0;SK0222
2020-10-13;Okres Kom·rno;0;0;0;SK0231
2020-10-13;Okres Koöice I;0;0;0;SK0422
2020-10-13;Okres Koöice II;1;0;1;SK0423
2020-10-13;Okres Koöice IV;3;0;3;SK0425
2020-10-13;Okres Liptovsk˝ Mikul·ö;0;0;0;SK0315
2020-10-13;Okres LuËenec;11;1;12;SK0326
2020-10-13;Okres Michalovce;76;3;79;SK0427
2020-10-13;Okres Nitra;82;2;84;SK0233
2020-10-13;Okres Pieöùany;3;0;3;SK0214
2020-10-13;Okres Poprad;50;6;56;SK0416
2020-10-13;Okres Prievidza;94;12;106;SK0227
2020-10-13;Okres Rev˙ca;3;0;3;SK0328
2020-10-13;Okres Rimavsk· Sobota;0;0;0;SK0329
2020-10-13;Okres Ruûomberok;0;0;0;SK0318
2020-10-13;Okres Skalica;13;2;15;SK0216
2020-10-13;Okres Sobrance;0;0;0;SK0429
2020-10-13;Okres Spiösk· Nov· Ves;0;0;0;SK042A
2020-10-13;Okres TopoæËany;0;0;0;SK0236
2020-10-13;Okres Trebiöov;0;0;0;SK042B
2020-10-13;Okres TrenËÌn;11;0;11;SK0229
2020-10-13;Okres TvrdoöÌn;0;0;0;SK031A
2020-10-13;Okres Zvolen;142;8;150;SK032B
2020-10-13;Okres éiar nad Hronom;0;0;0;SK032D
2020-10-13;Okres éilina;109;4;113;SK031B
2020-10-14;Okres Bansk· Bystrica;3;1;4;SK0321
2020-10-14;Okres Bansk· ätiavnica;0;0;0;SK0322
2020-10-14;Okres Bardejov;20;5;25;SK0411
2020-10-14;Okres Bratislava I;1;0;1;SK0101
2020-10-14;Okres Bratislava II;0;0;0;SK0102
2020-10-14;Okres Bratislava III;3;0;3;SK0103
2020-10-14;Okres Bratislava V;0;0;0;SK0105
2020-10-14;Okres »adca;0;0;0;SK0312
2020-10-14;Okres Doln˝ KubÌn;9;1;10;SK0313
2020-10-14;Okres Galanta;0;0;0;SK0212
2020-10-14;Okres Ilava;0;0;0;SK0222
2020-10-14;Okres Keûmarok;0;0;0;SK0413
2020-10-14;Okres Keûmarok;0;0;0;
2020-10-14;Okres Kom·rno;0;0;0;SK0231
2020-10-14;Okres Koöice I;0;0;0;SK0422
2020-10-14;Okres Koöice II;3;0;3;SK0423
2020-10-14;Okres Koöice IV;4;0;4;SK0425
2020-10-14;Okres Liptovsk˝ Mikul·ö;0;0;0;SK0315
2020-10-14;Okres LuËenec;4;0;4;SK0326
2020-10-14;Okres Michalovce;1;0;1;SK0427
2020-10-14;Okres Myjava;0;0;0;
2020-10-14;Okres Nitra;5;0;5;SK0233
2020-10-14;Okres Nitra;17;4;21;
2020-10-14;Okres NovÈ Mesto nad V·hom;0;0;0;SK0224
2020-10-14;Okres Pieöùany;465;3;468;SK0214
2020-10-14;Okres Poprad;34;5;39;SK0416
2020-10-14;Okres Prievidza;12;2;14;SK0227
2020-10-14;Okres Prievidza;12;2;14;
2020-10-14;Okres Rev˙ca;4;0;4;SK0328
2020-10-14;Okres Rimavsk· Sobota;0;0;0;SK0329
2020-10-14;Okres Ruûomberok;0;0;0;SK0318
2020-10-14;Okres Skalica;3;0;3;SK0216
2020-10-14;Okres Sobrance;0;0;0;SK0429
2020-10-14;Okres TopoæËany;0;0;0;SK0236
2020-10-14;Okres TrenËÌn;18;3;21;SK0229
2020-10-14;Okres TvrdoöÌn;0;0;0;SK031A
2020-10-14;Okres Zvolen;20;0;20;SK032B
2020-10-14;Okres éiar nad Hronom;0;0;0;SK032D
2020-10-14;Okres éilina;260;5;265;SK031B
2020-10-15;Okres Bansk· Bystrica;4;0;4;SK0321
2020-10-15;Okres Bansk· Bystrica;0;0;0;
2020-10-15;Okres Bansk· ätiavnica;0;0;0;SK0322
2020-10-15;Okres Bardejov;29;15;44;SK0411
2020-10-15;Okres Bratislava I;0;0;0;SK0101
2020-10-15;Okres Bratislava II;0;0;0;SK0102
2020-10-15;Okres Bratislava III;6;1;7;SK0103
2020-10-15;Okres Bratislava V;0;0;0;SK0105
2020-10-15;Okres Brezno;0;0;0;SK0323
2020-10-15;Okres Doln˝ KubÌn;4;1;5;SK0313
2020-10-15;Okres Galanta;0;0;0;SK0212
2020-10-15;Okres Ilava;0;0;0;SK0222
2020-10-15;Okres Kom·rno;0;0;0;SK0231
2020-10-15;Okres Koöice I;0;0;0;SK0422
2020-10-15;Okres Koöice II;0;0;0;SK0423
2020-10-15;Okres Koöice IV;16;5;21;SK0425
2020-10-15;Okres Liptovsk˝ Mikul·ö;0;0;0;SK0315
2020-10-15;Okres Liptovsk˝ Mikul·ö;0;0;0;
2020-10-15;Okres LuËenec;7;1;8;SK0326
2020-10-15;Okres Malacky;0;0;0;SK0106
2020-10-15;Okres Michalovce;3;0;3;SK0427
2020-10-15;Okres Myjava;0;0;0;SK0223
2020-10-15;Okres Myjava;0;0;0;
2020-10-15;Okres Nitra;6;1;7;SK0233
2020-10-15;Okres Nitra;25;1;26;
2020-10-15;Okres NovÈ Mesto nad V·hom;0;0;0;SK0224
2020-10-15;Okres Pieöùany;60;1;61;SK0214
2020-10-15;Okres Poprad;56;3;59;SK0416
2020-10-15;Okres Prievidza;14;2;16;SK0227
2020-10-15;Okres Prievidza;14;2;16;
2020-10-15;Okres Rev˙ca;6;0;6;SK0328
2020-10-15;Okres Rimavsk· Sobota;0;0;0;SK0329
2020-10-15;Okres Ruûomberok;0;0;0;SK0318
2020-10-15;Okres Skalica;6;1;7;SK0216
2020-10-15;Okres Spiösk· Nov· Ves;0;0;0;SK042A
2020-10-15;Okres TopoæËany;0;0;0;SK0236
2020-10-15;Okres TrenËÌn;11;0;11;SK0229
2020-10-15;Okres TvrdoöÌn;0;0;0;SK031A
2020-10-15;Okres Zvolen;12;0;12;SK032B
2020-10-15;Okres éiar nad Hronom;0;0;0;SK032D
2020-10-15;Okres éilina;57;2;59;SK031B
2020-10-16;Okres B·novce nad Bebravou;0;0;0;SK0221
2020-10-16;Okres Bansk· Bystrica;9;0;9;SK0321
2020-10-16;Okres Bansk· Bystrica;0;0;0;
2020-10-16;Okres Bardejov;14;2;16;SK0411
2020-10-16;Okres Bratislava I;0;0;0;SK0101
2020-10-16;Okres Bratislava II;0;0;0;SK0102
2020-10-16;Okres Bratislava III;14;1;15;SK0103
2020-10-16;Okres Bratislava V;0;0;0;SK0105
